,feature_names,target_names,task_id
0,"('Length', 'width', 'thickness', 'weight')",cost,0
1,"('Temperature', 'pressure', 'volume', 'density')",energy,1
2,"('Sodium', 'potassium', 'pH', 'conductivity')",toxicity,2
3,"('Slope', 'aspect', 'elevation', 'rainfall')",erosion,3
4,"('Circumference', 'diameter', 'radius', 'area')",volume,4
5,"('Speed', 'acceleration', 'mass', 'force')",momentum,5
6,"('Latitude', 'longitude', 'altitude', 'temperature')",climate,6
7,"('Acidity', 'sugarcontent', 'ripeness', 'size')",taste,7
8,"('Population', 'unemployment', 'education', 'income')",growth,8
9,"('Frequency', 'amplitude', 'waveform', 'harmonics')",pitch,9
10,"('Hardness', 'ductility', 'strength', 'alloycomposition')",durability,10
11,"('Viscosity', 'flowrate', 'pipediameter', 'pressure')",pumpingpower,11
12,"('Wages', 'experience', 'education', 'hoursworked')",productivity,12
13,"('Population', 'birthrate', 'deathrate', 'migration')",growthrate,13
14,"('Supply', 'demand', 'substitutes', 'complements')",equilibriumprice,14
15,"('Elections', 'debates', 'ads', 'endorsements')",votes,15
16,"('Sales', 'costs', 'margins', 'capital')",profits,16
17,"('Unemployment', 'interestrates', 'moneysupply', 'GDP')",inflation,17
18,"('Cropyield', 'rainfall', 'soilquality', 'fertilizer')",harvestsize,18
19,"('Calories', 'protein', 'fat', 'fiber')",nutritionalvalue,19
20,"('emissions', 'energysource', 'efficiency', 'scale')",environmentalimpact,20
21,"('Mortality', 'exercise', 'diet', 'genetics')",lifeexpectancy,21
22,"('Competition', 'differentiation', 'price', 'quality')",marketshare,22
23,"('Valenceelectrons', 'atomicradius', 'ionizationenergy', 'density')",reactivity,23
24,"('Turbulence', 'temperature', 'pressure', 'viscosity')",heattransfer,24
25,"('Ads', 'clicks', 'timeonsite', 'links')",conversions,25
26,"('R&D', 'patents', 'differentiation', 'competition')",firmvalue,26
27,"('Crimerate', 'police', 'income', 'education')",safety,27
28,"('Rainfall', 'soilmoisture', 'cropselection', 'irrigation')",yield,28
29,"('Interestrates', 'incomegrowth', 'unemployment', 'inflation')",GDPgrowth,29
30,"('Testing', 'bugs', 'features', 'developers')",softwarequality,30
31,"('UVexposure', 'ozone', 'emissions', 'albedo')",temperatureincrease,31
32,"('Virality', 'messaging', 'influencers', 'budget')",awareness,32
33,"('Polarity', 'functionalgroups', 'intermolecularforces', 'geometry')",meltingpoint,33
34,"('Taxes', 'governmentspending', 'trade', 'regulations')",economicfreedom,34
35,"('Luminosity', 'temperature', 'composition', 'age')",stability,35
36,"('Mutationrate', 'population', 'fitness', 'geneticdrift')",evolution,36
37,"('Fat', 'sugar', 'protein', 'fiber')",calories,37
38,"('Velocity', 'distance', 'acceleration', 'mass')",momentum,38
39,"('Charge', 'current', 'resistance', 'voltage')",power,39
40,"('Supply', 'demand', 'competition', 'barrierstoentry')",profitability,40
41,"('Testingaccuracy', 'falsepositives', 'falsenegatives', 'prevalence')",predictivevalue,41
42,"('Sensitivity', 'specificity', 'prevalence', 'oddsratio')",riskscore,42
43,"('Population', 'Averageincome', 'Unemploymentrate', 'Highschoolgraduationrate')",Crimerate,43
44,"('Rainfall', 'Temperature', 'SoilpH', 'Fertilizeramount')",Cropyield,44
45,"('Enginesize', 'Horsepower', 'Torque', 'Fuelefficiency')",Accelerationtime,45
46,"('Studytime', 'Classattendance', 'Testscores', 'GPA')",Collegeadmissions,46
47,"('Age', 'Bloodpressure', 'Cholesterol', 'Bodymassindex')",Heartdiseaserisk,47
48,"('Marketingbudget', 'Advertisingchannels', 'Brandawareness', 'Customerloyalty')",Salesrevenue,48
49,"('Processorspeed', 'RAM', 'Graphicscapability', 'Batterylife')",Gameperformance,49
50,"('Practicetime', 'Coachquality', 'Equipment', 'Tournamentexperience')",Tennisranking,50
51,"('Height', 'Armspan', 'Verticalleap', 'Sprinttime')",Basketballdraftposition,51
52,"('Councilsize', 'Policingbudget', 'Unemployment', 'Highschoolgraduation')",Violentcrimerate,52
53,"('Familyincome', 'Parenteducation', 'Earlychildhoodprograms', 'Testscores')",Graduationrates,53
54,"('Steelstrength', 'Bridgeload', 'Spanwidth', 'Safetyfactor')",Bridgestability,54
55,"('Flightlength', 'Numberofpassengers', 'Fuelcosts', 'Crewsize')",Airlineprofitability,55
56,"('Rainfall', 'Reservoircapacity', 'Outletsize', 'Evaporation')",Lakewaterlevel,56
57,"('Fatintake', 'Fiberintake', 'Proteinintake', 'Exercise')",Weightchange,57
