,feature_names,target_names,task_id
0,"('Yearsofeducation', 'Income', 'Jobexperience', 'Age')",Salary,0
1,"('Height', 'Armspan', 'Leglength', 'Weight')",Strength,1
2,"('Practicetime', 'Classestaken', 'Applicationscore', 'Confidence')",Musicskill,2
3,"('Studyhours', 'Attendance', 'Homeworkcompletion', 'Examscores')",Finalgrade,3
4,"('Lengthoffibers', 'Tensilestrength', 'Density', 'Elasticity')",Ropestrength,4
5,"('Gasusage', 'Electricityusage', 'Applianceefficiency', 'Houseinsulation')",Energybill,5
6,"('Cropyield', 'Rainfall', 'Soilnutrients', 'Sunexposure')",Farmprofit,6
7,"('Advertisingbudget', 'Marketsize', 'Productquality', 'Brandloyalty')",Salesrevenue,7
8,"('Trainingtime', 'Proteinintake', 'Recoverytime', 'Genetics')",Musclegain,8
9,"('Enginepower', 'Transmissiontype', 'Aerodynamics', 'Wheeltorque')",Topspeed,9
10,"('Yearsprogramming', 'Algorithmcomplexity', 'Codingstandards', 'Codetesting')",Softwarereliability,10
11,"('Intelligence', 'Workethic', 'Likeability', 'Qualifications')",Hirability,11
12,"('Flighthours', 'Navigationskill', 'Medicalfitness', 'Emergencytraining')",Pilotcertification,12
13,"('Interestrates', 'Incomegrowth', 'Jobsecurity', 'Savingsrate')",Retirementfundsize,13
14,"('Neuronconnections', 'Brainplasticity', 'Cognitiveexercise', 'Educationlevel')",IQ,14
15,"('Effort', 'Persistence', 'Timemanagement', 'Focus')",Productivity,15
16,"('Volunteerhours', 'Donationsreceived', 'Awarenessraised', 'Eventturnout')",Charitableimpact,16
17,"('Cloudcover', 'Windowinsulation', 'Housecompactness', 'Heaterefficiency')",Indoortemperature,17
18,"('Ingredientcost', 'Recipecomplexity', 'Chefskill', 'Presentation')",Mealenjoyment,18
19,"('Drumtightness', 'Stringmaterial', 'Playingtechnique', 'Tuningfrequency')",Soundquality,19
20,"('Routeefficiency', 'Packageweight', 'Vehiclefueleconomy', 'Deliveryskill')",Emissionsproduced,20
21,"('Lettucehealth', 'Tomatoripeness', 'Onionfreshness', 'Herbaroma')",Saladtastiness,21
22,"('Woolquality', 'Knittingtechnique', 'Patterncomplexity', 'Craftskill')",Sweaterwarmth,22
23,"('Bridgematerials', 'Constructionbudget', 'Architectskill', 'Safetyregulations')",Bridgestability,23
24,"('Processorspeed', 'RAMcapacity', 'Graphicscapability', 'Coolingsystem')",Gamingperformance,24
25,"('Fatcontent', 'Fibercontent', 'Nutrientbalance', 'Portionsize')",Diethealthiness,25
26,"('Paintopacity', 'Brushquality', 'Canvastexture', 'Lighting')",Portraitrealism,26
27,"('Probiotics', 'Digestiveenzymes', 'Hydration', 'Nutrientabsorption')",Guthealth,27
28,"('Museumsize', 'Exhibitvariety', 'Visitorcapacity', 'Accessibility')",Culturalimpact,28
29,"('Topicrelevance', 'Writingskill', 'Reviewprocess', 'Distributionscope')",Articleinfluence,29
30,"('Makeuphygiene', 'Brushquality', 'Technique', 'Faceshape')",Enhancementachieved,30
31,"('Fintype', 'Kickpower', 'Stroketechnique', 'Practicetime')",Swimspeed,31
32,"('Woolthickness', 'Needlesize', 'Stitchstyle', 'Colorvibrancy')",Sweaterbeauty,32
33,"('Doughelasticity', 'Fillingsweetness', 'Ovenspring', 'Glazeconsistency')",Pastrydelight,33
34,"('Bushshape', 'Flowercolor', 'Soilnutrients', 'Wateringfrequency')",Gardeningjoy,34
35,"('Fursoftness', 'Toyvariety', 'Spacesize', 'Humanbond')",Cathappiness,35
36,"('Wheeltraction', 'Suspensiondampening', 'Centerofgravity', 'Driverskill')",Off,36
37,"('Ingredientcompatibility', 'Spicebalance', 'Brewtime', 'Beanorigin')",Coffeeperfection,37
38,"('Datastructure', 'Algorithmefficiency', 'Codereadability', 'Testingcoverage')",Softwarespeed,38
39,"('Teacherknowledge', 'Studenteagerness', 'Classparticipation', 'Groupwork')",Learningoutcomes,39
40,"('Ingredientcost', 'Dishoriginality', 'Platingartistry', 'Winepairing')",Diningsophistication,40
41,"('Masspopularity', 'Meaningfullyrics', 'Melodicquality', 'Harmoniccomplexity')",Songgreatness,41
42,"('Treehealth', 'Canopyfullness', 'Trailmaintenance', 'Parkfunding')",Recreationalvalue,42
43,"('Furthickness', 'Fatreserves', 'Burrowinsulation', 'Foodavailability')",Hibernationsuccess,43
44,"('Finsurfacearea', 'Musclestrength', 'Oxygenefficiency', 'Streamlineshape')",Dolphinspeed,44
45,"('Threadcount', 'Weavetightness', 'Fabricthickness', 'Dyerichness')",Sheetquality,45
46,"('Kernelintactness', 'Roastingevenness', 'Grindconsistency', 'Brewingskill')",Coffeesmoothness,46
47,"('Wicklength', 'Waxpurity', 'Scentstrength', 'Containershape')",Candlebrightness,47
48,"('Shieldstrength', 'Engineoutput', 'Laserchargetime', 'Crewskill')",Battleperformance,48
49,"('Scalehardness', 'Jawstrength', 'Speed', 'Camouflage')",Survivalrate,49
50,"('Wirelength', 'Coildensity', 'Magnetstrength', 'Powersource')",Electromagnetliftcapacity,50
51,"('Syllablecomplexity', 'Rhymerichness', 'Metaphoraptness', 'Wordplay')",Lyricartfulness,51
52,"('Furglossiness', 'Bodysymmetry', 'Stanceconfidence', 'Gaitfluidity')",Showcatranking,52
53,"('Ingredientcompatibility', 'Spicebalance', 'Marinadepenetration', 'Grillskill')",Kebabtaste,53
54,"('Plateseparation', 'Gelconductivity', 'Blotefficiency', 'Imageclarity')",Proteinquantification,54
55,"('Nodeconnections', 'Linkmeaningfulness', 'Knowledgebreadth', 'Inferencequality')",AIcompetence,55
56,"('Ballspinrate', 'Clubfaceangle', 'Swingtempo', 'Impactforce')",Drivedistance,56
57,"('Yarnelasticity', 'Needlesharpness', 'Stitchtension', 'Seamevenness')",Sweaterdurability,57
58,"('Lodgeheight', 'Viewbreadth', 'Trailaccessibility', 'Forestbiodiversity')",Hikingenjoyment,58
59,"('Purificationadequacy', 'Mineralbalance', 'Filtrationeffectiveness', 'Bottleintegrity')",Waterhealth,59
60,"('Legumevariety', 'Grainassortment', 'Vegetablefreshness', 'Herbaroma')",Soupheartiness,60
61,"('Genrerelevance', 'Lyricpoignancy', 'Vocalcontrol', 'Instrumentmix')",Songimpact,61
62,"('Furluster', 'Nosewetness', 'Tailcurl', 'Purrloudness')",Kittencuteness,62
63,"('Yeastvigor', 'Saltcontent', 'Proofingtime', 'Ovenspring')",Breadfluffiness,63
64,"('Finangle', 'Strokepower', 'Kicktempo', 'Turncrispness')",Laptime,64
65,"('Ingredientcompatibility', 'Spicebalance', 'Marinadetime', 'Grilltemp')",Kebabjuiciness,65
66,"('Threadstrength', 'Stitchstyle', 'Patternfit', 'Buttonalignment')",Shirtdurability,66
67,"('Treematurity', 'Canopydensity', 'Leafhealth', 'Soilfertility')",Orchardyield,67
68,"('Woolorigin', 'Dyequality', 'Yarnthickness', 'Stitchtension')",Sweaterlongevity,68
69,"('Wickbraiding', 'Waxpurity', 'Fragranceintensity', 'Glassclarity')",Candleradiance,69
70,"('Harmoniccomplexity', 'Lyricimagery', 'Vocalcontrol', 'Backingsupport')",Songtranscendence,70
71,"('Furdensity', 'Muscletone', 'Stalkingstealth', 'Clawsharpness')",Huntingprowess,71
72,"('Beamstrength', 'Suspensionflex', 'Wheelgrip', 'Shockdamping')",Vehiclehandling,72
73,"('Flourprotein', 'Eggfreshness', 'Butterrichness', 'Ovenspring')",Pastryflakiness,73
74,"('Pigmentpurity', 'Brushfinesse', 'Canvastexture', 'Lighting')",Paintingrealism,74
75,"('Furglossiness', 'Muscletone', 'Huntingstealth', 'Preyabundance')",Wolfvitality,75
76,"('Fruitripeness', 'Barreloakiness', 'Yeastvigor', 'Storagetime')",Wineexcellence,76
77,"('Woolorigin', 'Colorintensity', 'Patternintricacy', 'Craftmastery')",Tapestrymagnificence,77
78,"('Harvesttiming', 'Leafprocessing', 'Fermentation', 'Blendingskill')",Teaflavor,78
79,"('Flourgluten', 'Butterratio', 'Baketemp', 'Resttime')",Croissantflakiness,79
80,"('Wiregauge', 'Coilwraps', 'Magnetgrade', 'Voltage')",Motortorque,80
81,"('Furluster', 'Featherpreening', 'Plumagesymmetry', 'Displayvigor')",Birdbeauty,81
82,"('Beamstrength', 'Wallrigidity', 'Foundationstability', 'Safetyfactor')",Buildingresilience,82
83,"('Spicecomplexity', 'Herbsynergy', 'Sauceviscosity', 'Proteindoneness')",Dishharmony,83
84,"('Stamenhealth', 'Petalshape', 'Scentallure', 'Colorvibrancy')",Bouquetglory,84
85,"('Hidecondition', 'Tanningadequacy', 'Cutprecision', 'Stitchstrength')",Walletdurability,85
86,"('Branchstrength', 'Trunkgirth', 'Canopybreadth', 'Soilnutrition')",Treemajesty,86
87,"('Ingredientcompatibility', 'Saltbalance', 'Sauceviscosity', 'Pastacooking')",Dishsavoriness,87
88,"('Fursheen', 'Muscletone', 'Agilitytraining', 'Frisbeecatchskill')",Canineathleticism,88
