input,target,trial_id,task_id
"[3.0, 5.0, 2.0]",plantparts,0,373
"[1.0, 3.0, 4.0]",biologicalstructures,1,373
"[4.0, 2.0, 1.0]",plantparts,2,373
"[2.0, 6.0, 3.0]",plantparts,3,373
"[5.0, 1.0, 5.0]",biologicalstructures,4,373
"[3.0, 4.0, 2.0]",plantparts,5,373
"[1.0, 2.0, 6.0]",biologicalstructures,6,373
"[6.0, 3.0, 1.0]",plantparts,7,373
"[4.0, 5.0, 4.0]",biologicalstructures,8,373
"[2.0, 1.0, 3.0]",plantparts,9,373
"[5.0, 6.0, 2.0]",plantparts,10,373
"[3.0, 2.0, 5.0]",biologicalstructures,11,373
"[1.0, 4.0, 1.0]",plantparts,12,373
"[6.0, 5.0, 6.0]",biologicalstructures,13,373
"[4.0, 3.0, 3.0]",plantparts,14,373
"[2.0, 6.0, 4.0]",plantparts,15,373
"[5.0, 1.0, 2.0]",biologicalstructures,16,373
"[3.0, 5.0, 1.0]",plantparts,17,373
"[1.0, 2.0, 3.0]",plantparts,18,373
"[6.0, 4.0, 5.0]",biologicalstructures,19,373
"[4.0, 1.0, 6.0]",biologicalstructures,20,373
"[2.0, 3.0, 2.0]",plantparts,21,373
"[5.0, 6.0, 3.0]",plantparts,22,373
"[3.0, 4.0, 5.0]",biologicalstructures,23,373
"[1.0, 5.0, 4.0]",biologicalstructures,24,373
"[6.0, 2.0, 1.0]",plantparts,25,373
"[4.0, 3.0, 2.0]",plantparts,26,373
"[2.0, 1.0, 5.0]",biologicalstructures,27,373
"[5.0, 4.0, 6.0]",biologicalstructures,28,373
"[3.0, 2.0, 4.0]",plantparts,29,373
"[1.0, 6.0, 2.0]",plantparts,30,373
"[6.0, 5.0, 3.0]",plantparts,31,373
"[4.0, 1.0, 5.0]",biologicalstructures,32,373
"[2.0, 4.0, 1.0]",plantparts,33,373
"[5.0, 3.0, 6.0]",biologicalstructures,34,373
"[3.0, 6.0, 2.0]",plantparts,35,373
"[1.0, 2.0, 5.0]",biologicalstructures,36,373
"[6.0, 4.0, 4.0]",biologicalstructures,37,373
"[4.0, 5.0, 2.0]",plantparts,38,373
"[2.0, 3.0, 6.0]",biologicalstructures,39,373
"[5.0, 1.0, 1.0]",plantparts,40,373
"[3.0, 4.0, 3.0]",plantparts,41,373
"[1.0, 5.0, 6.0]",biologicalstructures,42,373
"[6.0, 2.0, 5.0]",biologicalstructures,43,373
"[4.0, 3.0, 4.0]",plantparts,44,373
"[2.0, 6.0, 2.0]",plantparts,45,373
"[5.0, 4.0, 1.0]",biologicalstructures,46,373
"[3.0, 2.0, 6.0]",biologicalstructures,47,373
"[1.0, 1.0, 4.0]",plantparts,48,373
"[6.0, 5.0, 2.0]",plantparts,49,373
"[4.0, 6.0, 5.0]",biologicalstructures,50,373
"[2.0, 4.0, 3.0]",plantparts,51,373
